Unit,Missing,Under 85°,85° to 89°,90° to 94°,95° to 99°,100° or more
Allred,0,82,30,33,33,5
Beto,0,89,57,33,4,0
Boyd,0,61,45,56,21,0
Bradshaw,0,66,35,53,28,1
Briscoe,0,44,30,56,53,0
Byrd,0,95,42,43,3,0
Clemens,0,113,60,10,0,0
Clements,0,143,40,0,0,0
Coffield,0,74,49,46,13,1
Cole,0,77,48,35,23,0
Connally,0,52,25,97,9,0
Crain,0,57,27,46,52,1
Dalhart,0,130,41,11,1,0
Daniel,0,94,43,46,0,0
Dominguez,0,49,27,55,52,0
Ellis,0,53,56,64,10,0
Estelle,0,75,47,53,8,0
Ferguson,0,62,57,54,10,0
Formby,0,100,61,21,1,0
Garza West,0,35,15,25,62,46
Gist,0,44,27,60,51,1
Goodman,0,70,63,36,13,1
Goree,0,98,59,26,0,0
Hightower,0,56,49,55,23,0
Hilltop,0,99,47,34,3,0
Hobby,0,66,40,59,15,3
Holliday,0,55,34,63,29,2
Hughes,0,72,49,53,9,0
Huntsville,1,69,60,48,5,0
Hutchins,0,50,45,69,19,0
Jester III,0,74,79,28,2,0
Johnston,0,75,40,45,23,0
Jordan,0,132,42,9,0,0
Lewis,0,66,45,62,10,0
Lopez,0,31,33,59,60,0
Luther,0,73,43,57,9,1
Lychner,0,38,24,37,67,17
Lynaugh,0,102,53,27,1,0
Mcconnell,0,58,29,85,11,0
Memorial,0,87,67,29,0,0
Michael,0,76,45,61,1,0
Middleton,0,59,33,43,46,2
Montford,0,87,55,33,8,0
"Moore, C.",0,74,40,51,18,0
Mountain View,0,73,29,38,39,4
Murray,0,76,57,36,14,0
Plane,0,39,23,65,48,8
Polunsky,0,46,43,78,16,0
Powledge,0,64,63,43,13,0
Ramsey,0,60,24,93,6,0
Roach,0,99,41,42,1,0
Robertson,0,77,35,43,28,0
Sanchez,0,82,62,32,7,0
Segovia,62,6,11,44,60,0
Smith,0,105,47,30,1,0
Stevenson,0,39,31,61,52,0
Stiles,0,57,69,55,2,0
Stringfellow,0,78,75,30,0,0
Telford,0,103,44,34,2,0
Terrell,0,79,47,52,5,0
Torres,0,52,56,73,2,0
Vance,0,50,24,42,61,6
Wainwright,0,68,49,37,29,0
Wallace,0,73,42,56,12,0
Wheeler,0,134,40,5,4,0
Woodman,0,54,28,48,48,5
Wynne,0,59,34,63,26,1
Young,0,46,33,73,28,3
